step	agent_id	name	layer	base_age	current_age	evaluation	emotion	pathway	support	intensity	action	action_category	action_detail	thought	private_talk	social_post	perceived_situation	reasoning_basis	memory_update	carryover_concern	side_effect	adjustment_request	fairness_perception	policy_fatigue
1	A11	吉田蒼	若者	22	22	注意	不安	42.0	44.0	67.0	進路不安の確認	情報収集	採用縮小のニュースと異議申立て窓口を調べ、要件をメモする	戦争のニュースで全部不安定に見える。奨学金返す前提が崩れたら詰むかも。	新卒枠減るってマジ？奨学金あるのに、詰みたくないんだけど…	就活の空気また変わりそう。情報追うしかない。	戦争関連の不安がSNSで増え、採用縮小の話も目に入った	負債が大きく雇用不安に敏感。SNS経由で不安が増幅しやすい	異議申立ての即時窓口があるらしい、条件を後で確認する	物価と採用の悪化で返済計画が崩れる不安が残る	手続き疲れ	対象条件の説明	41.0	56.0
1	A12	井上拓海	家族形成	23	23	中立	平静	58.0	56.0	46.0	様子見	情報収集	物価と会社の採用動向をニュースと社内の空気で確かめる	戦争ニュース多いな。俺の仕事は今すぐは平気でも、物価と雰囲気が怖い。	最近ニュース重いよな。給料上がる気もしないし、貯金ペース上げるわ。	不安はあるけど、情報に飲まれないように淡々と備える。	戦争と衝突の話題が増え、物価と雇用の先行きが読みにくいと感じた	正規で安定はあるが賃貸と小さな負債があり、物価と採用縮小の話が刺さった	地政学リスクで生活コストが上がり得る、という感覚が残った	会社の人員計画と昇給が鈍る不安	なし	財源説明	55.0	34.0
1	A13	木村彩花	家族形成	24	24	中立	平静	62.0	58.0	41.0	情報整理	情報収集	ニュースを追いすぎない範囲で、物価と会社動向だけ確認した。	戦争ニュース多すぎ。仕事は今は大丈夫でも、物価と先の空気が読めない。	ニュース見た？なんか不安煽り強くて疲れる。物価だけ怖いわ。	地政学リスクで不安はあるけど、まず生活の足元を整えるしかない。	限定戦争や間接衝突の話題が増え、物価と将来の不確実感を感じた。	正規ITで雇用は安定だが、SNSで不安が増幅しやすく生活費が気になる。	外部リスクは続く前提で、支出と貯蓄の見直しを意識した。	物価上昇と企業の採用縮小が自分の将来にも波及しないか。	なし	財源説明	55.0	46.0
1	A14	長谷川杏奈	若者	22	22	注意	不安	34.0	38.0	74.0	条件確認	情報収集	不安層向け窓口の対象条件と必要書類をスマホで確認する	戦争とか物価とか、全部じわじわ来る。私の生活って守られる側？	窓口あるって言うけど、結局書類とかで疲れるやつじゃない？	不安な人が言い返せる窓口、実際に使える形で出してほしい	戦争関連のニュースが増え、物価と雇用の先が読めない感覚が強い	非正規で雇用不安が高く、SNS不安増幅も強く入ってくるため	困った時に異議申立て窓口があるらしい、と覚えた	対象外だったり手続きが重いと、結局何も変わらない不安	手続き疲れ	手続き簡素化	35.0	62.0
1	A15	石川涼太	家族形成	24	24	注意	怒り	38.0	36.0	74.0	窓口確認	相談	自治体サイトと窓口の案内を見て、異議申立て窓口の対象条件を確認する。	結局、真面目にやっても割食う側なんだよな。言い返せる場所は要る。	採用絞るって話、またかよ。せめて困った時に言える窓口ほしいわ。	不安煽るだけじゃなく、困った時に言い返せる窓口をちゃんと機能させて。	戦争・衝突のニュースが増え、物価と仕事の先が読みにくいと感じた。	ギグで雇用不安が高く制度不信も強いが、窓口情報は手が届くため確認へ。	異議申立ての窓口があるなら、困った時に使えるかもと覚えた。	採用縮小と物価上振れで、収入が落ちた時に耐えられるか不安。	実装不信	対象条件の説明	40.0	55.0
1	A17	西村菜摘	家族形成	24	24	注意	不安	28.0	38.0	76.0	窓口確認	相談	自治体の相談窓口に電話し、介護と就労の支援可否を聞く。	結局、私みたいなのは後回しだよね。言い返せるって何をどう？	窓口あるって言うけどさ、私が動けない時どうすんの…疲れた。	困った時に言える窓口、実際つながる運用までセットでお願い。	戦争や物価の不安がSNSで増え、支援窓口の話だけ目に入った。	重い家族ケアで外出困難。短時間就労も不安定で、窓口頼みが先。	「異議申立て窓口」があるらしい、でも手続きが重そうと記憶。	電話がつながらない/対象外と言われる恐れと、家計の先行き。	手続き疲れ	手続き簡素化	33.0	61.0
1	A18	山崎直人	家族形成	25	25	中立	平静	58.0	54.0	44.0	生活見直し	生活防衛	ガソリン代とサブスクを見直し、残業見込みを上長に確認した	戦争とか遠い話でも、物価と会社の空気はじわっと来るんだよな。	最近また値上げ多くない？残業減ったら地味にきついわ。	不安煽り多いけど、結局は生活コストが一番効く。	ニュースとSNSで地政学不安が増え、物価と景気の話題が増えた	地方の正規で雇用は安定寄りだが、実家同居でも出費増が気になる	不安要因はまず物価と会社の受注だと感じた	急な残業減や手当減で貯金計画が崩れる不安	なし	財源説明	55.0	28.0
1	A27	斎藤紗季	家族形成	28	28	注意	不安	48.0	52.0	63.0	窓口確認	相談	自治体サイトと会社の制度担当に、窓口と対象条件を確認した。	戦争とか物価とか遠い話じゃなく、今月の生活が詰みそうで怖い。	ねえ、これ以上値上げきたら無理じゃない？制度って使えるのかな…。	育児と介護の同時進行、制度が「使える形」になってほしい。	ニュースで地政学不安と物価・雇用の揺れを感じ、窓口新設の話だけ拾った。	重度ケアと共働きで余裕が薄く、物価と雇用の不確実性が直撃するため。	言い返せる窓口があるなら一度相談してみよう、という感触が残った。	対象外や手続き負担で結局使えないのでは、という不信が残る。	手続き疲れ	手続き簡素化	47.0	61.0
1	W02	中島美優	家族形成	36	36	良好	希望	68.0	63.0	38.0	状況整理	情報収集	戦況と物価、社内の再配置情報をまとめて今月の家計と学習計画を微調整する	戦争のニュースが続くと、先の見通しだけが急に薄くなる。備えはいるな。	社内の配置替え増えそう？私も学び直し、今のうちに手を動かすわ。	不安煽りが多いけど、一次情報と生活設計に落としたい。	戦況拡大の報道とSNSの不安投稿、物価と雇用の揺れ、社内で再学習の話題が増えた	正規ITで雇用は安定だが、地政学と物価・社内再設計の情報が刺さり備えを優先	先行きは揺れる前提で、毎月見直す癖をつける	物価上振れと社内再配置で学習負荷が増える可能性	なし	なし	57.0	24.0
1	W22	野口彩乃	家族形成	35	35	注意	不安	48.0	44.0	63.0	家計と保育の見直し	生活防衛	物価と職場の空気を見て、家計の固定費と送迎体制を再点検する	ニュース重い…。物価も上がるよね。私が倒れたら家も介護も回らない。	今月もバタバタ。戦争とかで物価また上がったら無理じゃない？	不安定な時ほど、育児と介護の支えを切らさないでほしい。	戦争拡大の報道と物価不安が増え、職場も再配置の話が出ている	共働きでも育児と重度ケアで余力が薄く、外部不安が直撃しやすい	不安が高い時に相談・異議の窓口があると知り、控えめにメモした	物価上昇と職場の配置転換で、保育と介護の両立が崩れる懸念	手続き疲れ	手続き簡素化	46.0	64.0
2	A01	佐藤陽菜	若者	15	15	注意	不安	55.0	52.0	48.0	進路の現実確認	情報収集	SNSとニュースを控えめに見て、学部と職業の相性をメモした	頑張れば何とかなる気もするけど、世界の空気が重くて先が霞む。	最近ニュース多すぎ。受験しても仕事ちゃんとあるのかなって思う。	情報多すぎて疲れる。とりあえず勉強は進める。	SNSで地政学不安と物価の話題が増え、将来の話が重く感じた	進学志向は維持。ただSNS不安増と雇用不確実の話で見通しが下がった	不安でも、進路は情報整理して前に進める、という感覚が残った	景気やAIで志望分野の価値が変わり、選択が狭まる不安	なし	なし	54.0	40.0
2	A02	鈴木大翔	若者	16	16	中立	平静	56.0	55.0	38.0	見出し確認	情報収集	部活後にSNSとニュースの見出しだけ見て、進路は保留にした。	また空気重いな。自分は今やること多いし、先はまだ遠い。	ニュース多すぎ。結局さ、俺ら何すりゃいいのってなる。	情報多くて疲れる。とりあえず今日やることやる。	SNSで不安っぽい話題が増え、物価と就職の不確かさを感じた。	実家で生活は安定、部活中心で当面の危機は薄く、見出し止まり。	SNSが荒れると将来の話が急に現実味を帯びてしんどい。	物価が上がって、進学や就活の選択肢が狭まる不安。	政策疲労	対象条件の説明	54.0	33.0
2	A03	高橋湊	若者	17	17	中立	平静	60.0	55.0	52.0	進路メモ更新	情報収集	地政学と採用不安の要点を整理し、学内の進路情報と照合する	不安は増えてるけど、今やることは結局スキルと実績だよな。	最近ニュース重いな。まあ俺はポートフォリオ先に固めるわ。	不確実性高いほど、足元の積み上げ大事。今月も進捗出す。	SNSで地政学不安が増え、企業の採用厳選の話も目に入る	高専で行動余地はあるが、採用不確実性の情報が不安を押し上げた	外部リスクは続く前提で、成果物と面談準備を前倒しする方針にした	採用枠が急に絞られた時に、競争が一気に激化する不安	対象外感	対象条件の説明	54.0	40.0
2	A04	田中結菜	若者	15	15	注意	不安	38.0	37.0	72.0	進路確認	相談	担任に奨学金や実習の話を聞き、バイト先のシフトも相談する。	頑張っても先が読めない。お金のせいで選べないのが一番こわい。	最近ニュース重くない？進学とか、うち出せるのか不安でさ。	物価も不安も上がる一方。進路の情報、早めに集めないと詰む。	SNSで地政学や物価の不安が増え、学校でも進路迷いの空気がある。	家計制約と制度不信があり、SNS不安増幅で将来像がさらに曖昧になった。	不安な時は担任に具体条件を聞く方が早いと覚えた。	奨学金や支援があっても手続きが難しくて間に合わない不安。	手続き疲れ	手続き簡素化	41.0	55.0
2	A05	伊藤蓮	若者	18	18	注意	不安	41.0	46.0	66.0	通学費と制度を確認	情報収集	学校掲示と自治体サイトを見て、通学補助と相談窓口の有無だけ控える。	ニュース怖いけど、結局は金と進路。外れたら詰むのが嫌だ。	最近さ、求人とか縮む？通学代きついし先が見えん。	不安煽り多すぎ。具体的に何が使えるのかだけ知りたい。	SNSで地政学や景気不安が増え、周りも節約や就活前倒しの話が増えた。	低所得で通学負担が刺さり、制度信頼も高くないのでまず実利情報に寄った。	不安が強い時ほどSNSより窓口・学校情報を先に当たると覚える。	地元求人が絞られた時の代替と、通学費が続くかの不安が残る。	政策疲労	対象条件の説明	38.0	60.0
2	A06	渡辺心愛	若者	19	19	注意	不安	42.0	41.0	68.0	制度の条件確認	情報収集	市の雇用課サイトと学校の進路室で支援の対象条件を確認する	また不安なニュース増えてる…。でも条件が合う支援があるなら、逃さず使いたい。	なんか制度あるって言うけど、私も対象なんかな…手続き難しいの嫌だ。	不安煽り多いけど、具体の支援条件が分かる情報が欲しい。	SNSで地政学と物価の不安が増え、進路の話題が重く感じた	実家同居で家計不安と軽いケアがあり、進路未定で情報に揺れやすい	支援はありそうだが、条件と手続き次第で使えるかが決まると感じた	物価と求人の先行きで、進学費用と生活費が持つか不安が残る	手続き疲れ	対象条件の説明	43.0	57.0
2	A07	山本陸	若者	19	19	注意	不安	46.0	49.0	61.0	研修と窓口を確認	情報収集	社内の研修予定と、異議申立が早い窓口の案内をスマホで控える。	研修があっても、結局は選ばれた人だけって感じがする。俺いける？	採用絞るとか怖いわ。研修あるって言うけど、使える人向けじゃね？	不安煽り多いけど、結局は現場の情報が一番。研修内容見て判断。	SNSで地政学の不安が流れ、物価と仕事の先行きの話題が増えた。	高卒初期で配置や育成に左右されやすく、前回の窓口記憶も半信半疑。	研修の中身次第で道が見えるかも、窓口は早くなりそうと覚えた。	研修が実務に繋がらず、結局は配置転換で振り回される不安。	実装不信	対象条件の説明	45.0	46.0
2	A08	中村美咲	若者	20	20	注意	不安	47.0	44.0	58.0	不安情報を切る	回避・縮小	SNSの速報系をミュートし、就活用に企業/業界だけに絞った	見てるほど怖くなる。結局、生活費と就活が一番きつい。	最近ニュース追うとメンタル削れる…就活も物価も同時は無理	不安煽り多すぎ。情報整理して、今できる準備からやる。	SNSで地政学と景気悪化の話題が増え、採用不安が強まった	単身賃貸と借入があり、採用変動の記憶が不安を増幅した	不安を増やす情報源を絞ると動ける、という手応えを残した	インフレで生活費が上がると、就活準備の余裕が削られる	政策疲労	対象条件の説明	46.0	60.0
2	A09	小林颯太	若者	21	21	注意	不安	52.0	53.0	46.0	就活計画を更新	情報収集	地政学と採用動向を追い、研究室の先輩に選考状況を聞く	頑張っても外部要因で詰むのが怖い。けど今月の手は動かせる。	最近ニュース重くて就活の軸ブレるわ。先輩の実感どう？	不確実性高いほど、応募とスキルの分散が大事だと痛感。	SNSで衝突拡大の話題が増え、企業が採用を絞る噂も目に入った	賃貸シェアで生活費に敏感。理系で機会はあるが採用変動の記憶が不安を押す	景気と地政学で採用は急に変わる。研修明確な企業は候補に残す	物価と採用の同時悪化で、生活費と就活が両方きつくなる不安	手続き疲れ	対象条件の説明	51.0	36.0
2	A10	加藤梨央	若者	22	22	注意	不安	44.0	50.0	66.0	就活条件の絞り込み	生活防衛	家賃と返済を見直し、研修明確な求人を中心に応募準備へ切り替えた。	結局、景気とAIで左右される気がする。詰む前に固い道に寄せたい。	求人、研修あるとこ狙う。返済もあるし冒険できないんだよね。	不確実な時ほど、条件と研修の透明性がある職場を選びたい。	SNSで海外情勢と物価不安が流れ、周りも節約と就活の話が増えた。	単身賃貸と借入があり、採用不安ニュースで慎重化。窓口改善は未実感。	研修や育成経路が明確な会社は安心材料、でも枠は絞られそうと記憶。	内定時期の遅れや条件変更で返済計画が崩れる不安が残る。	政策疲労	対象条件の説明	43.0	64.0
2	A11	吉田蒼	若者	22	22	注意	不安	44.0	46.0	66.0	窓口と要件の再確認	情報収集	一次判定短縮と非強制説明の内容、必要書類と期限を調べてメモする	結局、条件次第で対象外になりそう。待たされるのが一番きつい。	また不安ニュース増えてない？窓口早くなるって本当なら助かるけど…	手続きが早くなるのは良い。対象条件ももっと分かりやすくしてほしい。	SNSで地政学不安と採用厳選の話が増え、制度は『早く判定』が出たと知る	奨学金負債が重く雇用不安に敏感。前回の窓口記憶はあるが制度信頼が低め	一次判定短縮と非強制説明が標準化らしい。窓口で確認する候補にする	採用縮小と物価で返済見通しが崩れそうな不安が残る	手続き疲れ	対象条件の説明	40.0	58.0
2	A12	井上拓海	家族形成	23	23	中立	平静	57.0	54.0	52.0	家計点検	生活防衛	電気代と食費の見直しをして、給与明細と貯蓄計画を更新する	何とかなる気もするけど、昇給が止まると一気にきつい。	最近なんか値上げきつくない？貯金ペース落ちそうでさ。	生活コスト上がり方えぐい。固定費の見直し必須だな。	ニュースとSNSで地政学不安が増え、物価と雇用の先行きが読みにくい	単身賃貸で固定費が重く、前回の昇給不安の記憶が残っている	地政学由来のコスト上振れが当面続くかも、という実感	会社の人員計画次第で評価・昇給が鈍る不安	財政不安	財源説明	52.0	43.0
2	A13	木村彩花	家族形成	24	24	中立	平静	60.0	57.0	43.0	条件確認	情報収集	会社の研修方針と物価、制度の対象条件だけ要点確認した。	落ち着いてはいるけど、戦争と景気の波が仕事に来ないかは怖い。	最近ニュース重いよね。うちの会社は大丈夫そう？貯金しとく？	不安煽りより、家計と仕事の備えを淡々と進めたい。	SNSで地政学不安が増え、物価高も続く話題が目についた。	正規ITで当面は安定だが、物価と採用縮小の記憶が残り警戒した。	研修や配置の情報が明確なら、当面は耐えられると感じた。	景気悪化で評価や転職市場が急に冷えないか不安。	財政不安	財源説明	54.0	48.0
2	A14	長谷川杏奈	若者	22	22	注意	不安	38.0	41.0	72.0	窓口予約	相談	異議申立の一次判定短縮の話を見て、窓口に相談予約を入れる	早く見てもらえるなら助かる。でも対象外で時間だけ溶けたら怖い。	窓口、前より早いって。行くけどさ、また書類地獄だったら無理…	制度の説明、もっと短くして。困ってる時ほど手続きが重い。	SNSで地政学不安が増え、生活コストと雇用の先が読みにくい	非正規で不安定、信頼低め。前回調べた窓口に頼るが手続き懸念が強い	一次判定が早い制度があるなら、まず相談してみると覚えた	対象外判定や書類負担で心が折れて動けなくなる不安	手続き疲れ	手続き簡素化	34.0	66.0
2	A15	石川涼太	家族形成	24	24	注意	怒り	41.0	37.0	69.0	条件整理	情報収集	一次判定短縮の話を見て、自分が対象か必要書類をメモする。	結局、対象外で門前払いとかあるよな。稼ぎも読めないし怖い。	窓口あるって言うけどさ、結局こっちが疲れるだけじゃね？	制度の説明は増えたけど、使える人に届く形になってる？	SNSで地政学不安と物価の話が増え、制度は改善告知も見る。	ギグで収入変動大+信頼低。改善告知は見るが実装不信が残る。	一次判定が早くなるなら、早めに相談して損はないと覚えた。	採用厳選と物価で、月の手取りが落ちた時の詰み感が残る。	実装不信	手続き簡素化	42.0	57.0
2	A17	西村菜摘	家族形成	24	24	注意	不安	34.0	43.0	72.0	再確認	相談	自治体窓口へ再度電話し、異議申立の一次判定短縮と必要書類を確認。	結局、私の時間と体力が削れるだけじゃない？でも放置も怖い。	また電話した。早くなるって言うけど、結局書類地獄な気がする…	制度の説明が分かりやすくなるのは助かる。現場が回るなら。	窓口で「一次判定が早くなる」「非強制の説明」を聞いたが、条件は曖昧。	重度ケアで外出困難、短時間就労も不安定。手続き負担が先に立つ。	一次判定短縮は聞けた。必要書類と対象条件がまだ不明と記憶。	結局対象外と言われる恐れと、介護で手続きが回らない不安。	手続き疲れ	対象条件の説明	36.0	64.0
2	A18	山崎直人	家族形成	25	25	中立	平静	55.0	52.0	48.0	出費と残業の再確認	生活防衛	家計簿アプリで固定費を再点検し、今月の残業枠を班長に聞いた	不安はあるけど、仕事は急に無くならない…よな。貯金計画だけ崩れないでほしい。	最近ニュース重いな。うちの工場、受注どう？残業減ったら地味にキツいわ。	物価と先行き、結局は足元の収入が安定してるかだよな。	SNSで地政学リスクの話題が増え、ガソリンや食費の上昇を実感。会社は忙しさに波が出そう	実家同居で急場は耐えるが、受注と残業次第で貯金が揺れる記憶が強い。制度情報は届きにくい	不安の中心は物価と残業で、まず職場の見通し確認が効くと学んだ	急な残業減や手当減で家計防衛が長期化し、将来投資が遅れる懸念	財政不安	財源説明	53.0	33.0
2	A27	斎藤紗季	家族形成	28	28	注意	不安	53.0	58.0	60.0	制度の要点確認	情報収集	自治体通知と窓口FAQを読み、ケア報酬と申立短縮の要件を整理した。	使えるなら助かる。でも結局、書類と時間が足りない気がする。	これ、対象なら神だけど…手続き重いと無理だよね。どう思う？	支援増は歓迎。ただ要件と手続き、もっと分かりやすくしてほしい。	地政学不安のニュースが多く、物価と先行き不安が続く。自治体から制度案内が届いた。	重度ケアと共働きで時間制約が強く、前回の手続き疲れが残る一方、窓口の手触りはあった。	要件が合えば使えるかも、でも最初の壁は書類と時間だと再確認した。	対象外や追加書類で頓挫し、期待だけ膨らむ不安が残る。	手続き疲れ	手続き簡素化	49.0	64.0
2	W02	中島美優	家族形成	36	36	中立	平静	66.0	64.0	41.0	家計防衛の再点検	生活防衛	食費と固定費を洗い直し、学習時間は減らさず残業見込みを家計に反映する	情報が荒れてる。今は崩れない土台づくりを淡々と、って感じ。	SNS見るとザワつくね。うちは当面大丈夫だけど、物価は地味に効く。	不安煽り多いけど、生活は数字で守る。できる範囲で備えるだけ。	地政学の悪化が続き、物価と雇用の先行きが読みにくいと感じた	正規ITで当面は安定だが、SNS不安と物価で慎重化。前回の月次見直し癖が継続。	荒れた月はSNSを絞って家計と学習を数字で守る	社内再配置で学習負荷が急に跳ねる可能性	なし	なし	55.0	30.0
2	W22	野口彩乃	家族形成	35	35	注意	不安	49.0	46.0	66.0	窓口と制度を確認	情報収集	自治体サイトと職場の制度を見て、相談窓口に電話する。	世界も職場も落ち着かなくて、結局しわ寄せが家に来る気がする。	今日もニュースしんどい…。保育と介護、崩れたら詰むよね。	支援はありがたいけど、手続きの簡素化と見通しの説明がほしい。	SNSで不安な海外情勢が増え、物価と職場の先行きも読みにくい。	重度ケアと送迎で余裕が薄く、制度信頼も高くないが相談窓口は思い出した。	異議申立が早くなる話と非強制説明の存在を見て、連絡先を保存した。	配置転換や急な残業で、保育と介護の両立が崩れる不安が残る。	手続き疲れ	手続き簡素化	45.0	67.0
3	A01	佐藤陽菜	若者	15	15	注意	不安	52.0	50.0	56.0	進路の現実チェック	情報収集	電気代や物価の話題を見て、志望分野の将来性を軽く調べ直した	世界のニュースが近く感じて、将来の前提がまた動きそうで怖い。	最近、物価もニュースも落ち着かなくてさ。進路、外したくない。	不安煽り多すぎ。必要な情報だけ追える力が要る。	SNSで危機情報が増え、家計や物価の不安が身近に聞こえた	前回の不安が残る中、SNS不安増幅と物価圧で進路が揺らぐ感覚が強まった	不安でも、情報を絞って進路を点検すれば崩れない感覚を得た	AIや景気変動で志望分野の価値が急に変わる不安	なし	なし	52.0	46.0
3	A02	鈴木大翔	若者	16	16	注意	不安	52.0	49.0	46.0	見出し追い	情報収集	部活帰りに電気代と戦争系の話題だけ追って、進路は先延ばしにした。	物価も不安だしAIの話も難しい。今決めろって言われても無理だ。	最近ニュースしんどい。進路の話になると急に現実で、逃げたくなる。	部活終わりに見るニュース、重い。とりあえず今日は寝る。	エネルギー高と海外情勢の見出しが増え、将来が不安定に感じた。	高校生で部活優先、SNS見出し中心。物価不安の記憶が残り不安に寄った。	見出しだけでも不安が増えるので、深追いしない方が楽だと学んだ。	家計の余裕が減って進学の選択が狭まるかもしれない不安。	政策疲労	対象条件の説明	50.0	41.0
3	A03	高橋湊	若者	17	17	中立	平静	58.0	53.0	57.0	採用動向チェック	情報収集	志望業界の採用動向と計算資源制約の影響を調べ、進路メモを更新する	不安はあるけど、結局は成果物と面接で殴るしかない。	最近また不穏だよね。とりあえずポートフォリオ強化するわ。	地政学も物価も荒れてるし、今できる成果物積むしかない。	SNSで危機情報が増え、物価と採用不安が日常の話題になっている	高専で実績を積める一方、採用不安と計算資源制約を体感し警戒が続く	外部リスク前提で、成果物更新と面談準備をさらに前倒しする	採用が急に絞られた時に、上位層に吸われる感じが強まる不安	対象外感	対象条件の説明	52.0	49.0
